SourceText,WakachigakiText,LabelIndex,LabelIndexVector
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
excelだけを買うことできますか？,excel だけ を 買う こと できる ます か ？,2,2:1
excelを単体で買うことは可能？,excel を 単体 で 買う こと は 可能 ？,2,2:1
office365のサブスクリプションidってどこでわかる？,office 365 の サブスクリプション id って どこ で わかる ？,3,3:1
office365のサブスクリプションidを入力してくださいと出ます,office 365 の サブスクリプション id を 入力 する て くださる と 出る ます,3,3:1
o365のsubscription idはどこに書いている？,o 365 の subscription id は どこ に 書く て いる ？,3,3:1
o365のsubscription idを教えてください,o 365 の subscription id を 教える て くださる,3,3:1
office365ってどうやったら買えるの？,office 365 って どう やる た 買える の ？,1,1:1
office365を買う方法,office 365 を 買う 方法,1,1:1
